,name,location,mobile_no,email,find_us,qualification,branch,career_issue,looking_for,technology,mode,time_slot,date,attended_by,no_persons,fee_details,year_of_pass_out,status,remarks
17,hidden,kovoor,hidden,hidden,reference,ug,civil,no career issue,job oriented course,java,hybrid,weekend,08-05-2020,sivaprasad,2,60000,2015,not joined,high fee
18,hidden,kozhikode,hidden,hidden,google,ug,other,no career issue,job oriented course,mern,offline,afternoon,23-12-2020,baiju,1,60000,2020,not joined,suspected
19,hidden,nadakkavu,hidden,hidden,none,ug,other,no career issue,short term course,mern,online,morning,21-06-2020,baiju,5,60000,2016,joined,joined
20,hidden,kottayam,hidden,hidden,social media,ug,civil,no career issue,it internship,data science,offline,weekend,19-10-2020,baiju,1,12500,2015,not joined,not impressed
21,hidden,medical college,hidden,hidden,social media,plus 2,commerce,no career issue,work experience,java,offline,morning,07-12-2020,baiju,1,60000,2018,not joined,not impressed
22,hidden,thrissur,hidden,hidden,social media,ug,civil,no career issue,job oriented course,ai,hybrid,morning,16-02-2020,baiju,5,60000,2019,not joined,not impressed
23,hidden,nilambur,hidden,hidden,others,diploma,electronics,career gap,job oriented course,data science,offline,evening,23-02-2020,lekha,2,60000,2015,joined,joined
24,hidden,nadakkavu,hidden,hidden,social media,ug,civil,no career issue,work experience,mern,online,morning,12-12-2020,monish,1,35000,2018,not joined,joined other institude
25,hidden,kannur,hidden,hidden,others,ug,mechanical,no career issue,work experience,others,offline,morning,24-07-2020,sandra,1,60000,2019,not joined,not interested
26,hidden,westhill,hidden,hidden,social media,ug,electronics,non it background,others,flutter,offline,morning,25-09-2020,faisal,1,35000,2020,not joined,not okay
27,hidden,kozhikode,hidden,hidden,social media,diploma,electronics,career gap,short term course,ai,online,morning,15-07-2020,faisal,6,60000,2016,not joined,not impressed
28,hidden,kozhikode,hidden,hidden,social media,others,electronics,backpapers,others,python,offline,weekend,11-07-2020,baiju,2,35000,2019,not joined,call not picking
29,hidden,ernakulam,hidden,hidden,reference,ug,commerce,non it background,work experience,python,offline,morning,07-04-2020,baiju,1,60000,2018,not joined,not interested
30,hidden,tirur,hidden,hidden,google,sslc,electronics,no career issue,it internship,python,offline,morning,07-10-2020,deepak,1,60000,2020,not joined,not impressed
31,hidden,kovoor,hidden,hidden,social media,ug,computer science,career gap,it internship,data science,offline,weekend,03-02-2020,baiju,1,60000,2020,not joined,not interested
32,hidden,westhill,hidden,hidden,social media,ug,mechanical,no career issue,others,web designing,offline,afternoon,26-05-2020,anupama,1,60000,2018,joined,joined
33,hidden,tanur,hidden,hidden,others,pg,civil,career gap,job oriented course,python,hybrid,afternoon,13-04-2020,baiju,1,60000,2016,not joined,not okay
34,hidden,ponnani,hidden,hidden,others,pg,mechanical,no career issue,it internship,python,offline,afternoon,25-07-2020,anupama,2,60000,2017,joined,joined
35,hidden,tirur,hidden,hidden,social media,ug,computer science,no career issue,work experience,python,offline,weekend,05-10-2020,sandra,1,35000,2016,not joined,joined other institude
36,hidden,nadakkavu,hidden,hidden,others,sslc,other,backpapers,it internship,data science,offline,morning,27-10-2020,sandra,2,60000,2020,not joined,not interested
37,hidden,chevayur,hidden,hidden,social media,ug,electronics,career gap,it internship,java,offline,afternoon,18-07-2020,lekha,5,12500,2015,not joined,joined other institude
38,hidden,ernakulam,hidden,hidden,social media,ug,commerce,career gap,work experience,python,offline,morning,05-02-2020,baiju,1,60000,2018,not joined,call not picking
39,hidden,manjeri,hidden,hidden,social media,pg,mechanical,no career issue,others,python,offline,afternoon,18-06-2020,baiju,4,12500,2016,not joined,not impressed
40,hidden,wayanad,hidden,hidden,social media,pg,civil,no career issue,short term course,java,online,morning,15-02-2020,baiju,1,60000,2016,not joined,not interested
41,hidden,kozhikode,hidden,hidden,social media,ug,commerce,backpapers,work experience,mern,offline,morning,13-06-2020,anupama,1,35000,2019,not joined,not interested
42,hidden,kozhikode,hidden,hidden,google,ug,civil,career gap,short term course,mern,online,morning,07-05-2020,anupama,2,60000,2015,joined,joined
43,hidden,chevayur,hidden,hidden,google,ug,commerce,no career issue,others,ai,offline,morning,05-05-2020,baiju,2,60000,2020,not joined,high fee
44,hidden,kozhikode,hidden,hidden,google,ug,electronics,no career issue,job oriented course,data science,hybrid,morning,09-01-2020,deepak,2,60000,2020,not joined,call not picking
45,hidden,nadakkavu,hidden,hidden,reference,ug,other,non it background,short term course,mern,offline,morning,26-07-2020,rifna,1,60000,2017,not joined,not okay
46,hidden,chevayur,hidden,hidden,social media,ug,mechanical,no career issue,others,data science,offline,morning,01-07-2020,baiju,1,60000,2020,not joined,not okay
47,hidden,trivandrum,hidden,hidden,none,ug,commerce,backpapers,short term course,mern,hybrid,evening,05-02-2020,baiju,3,60000,2019,not joined,high fee
48,hidden,trivandrum,hidden,hidden,reference,ug,electronics,no career issue,job oriented course,mern,hybrid,morning,05-11-2020,baiju,2,35000,2015,not joined,call not picking
49,hidden,farook,hidden,hidden,social media,diploma,commerce,no career issue,work experience,data science,offline,morning,02-05-2020,lekha,2,60000,2017,not joined,not interested
50,hidden,ramanattukara,hidden,hidden,social media,ug,mechanical,non it background,work experience,java,offline,afternoon,05-09-2020,baiju,2,60000,2019,not joined,not impressed
51,hidden,kannur,hidden,hidden,google,pg,electronics,non it background,work experience,mern,offline,weekend,13-05-2020,anupama,1,60000,2020,not joined,suspected
52,hidden,manjeri,hidden,hidden,social media,pg,electronics,no career issue,short term course,java,offline,afternoon,18-07-2020,sandra,1,60000,2015,joined,joined
53,hidden,palakkad,hidden,hidden,social media,ug,civil,no career issue,short term course,python,hybrid,weekend,08-09-2020,anupama,2,35000,2015,not joined,not impressed
54,hidden,manjeri,hidden,hidden,social media,ug,mechanical,backpapers,job oriented course,mern,offline,weekend,21-10-2020,anupama,1,60000,2020,not joined,call not picking
55,hidden,nadakkavu,hidden,hidden,reference,ug,mechanical,no career issue,others,mern,offline,morning,24-06-2020,anupama,4,60000,2015,not joined,not okay
56,hidden,kottayam,hidden,hidden,reference,ug,other,no career issue,others,mern,hybrid,afternoon,23-02-2020,baiju,2,60000,2020,not joined,not interested
57,hidden,kozhikode,hidden,hidden,social media,pg,commerce,no career issue,job oriented course,flutter,offline,evening,19-06-2020,deepak,3,60000,2015,not joined,call not picking
58,hidden,chaliyam,hidden,hidden,google,ug,civil,no career issue,it internship,data science,online,evening,27-04-2020,deepak,2,60000,2020,joined,joined
59,hidden,kozhikode,hidden,hidden,social media,ug,mechanical,no career issue,it internship,python,offline,morning,05-05-2020,anupama,1,60000,2019,not joined,not interested
60,hidden,pantheerankavu,hidden,hidden,social media,diploma,other,non it background,it internship,mern,offline,weekend,03-11-2020,sandra,1,60000,2017,not joined,high fee
61,hidden,kozhikode,hidden,hidden,social media,ug,civil,no career issue,it internship,python,hybrid,weekend,18-04-2020,anupama,1,35000,2017,not joined,high fee
62,hidden,chaliyam,hidden,hidden,social media,ug,other,non it background,others,python,offline,weekend,04-03-2020,faisal,2,60000,2015,not joined,not impressed
63,hidden,kunnamangalam,hidden,hidden,reference,ug,mechanical,no career issue,work experience,python,offline,evening,26-12-2020,baiju,3,60000,2017,joined,joined
64,hidden,manjeri,hidden,hidden,social media,ug,other,no career issue,it internship,python,offline,morning,07-09-2020,lekha,3,60000,2017,not joined,joined other institude
65,hidden,kozhikode,hidden,hidden,reference,ug,commerce,career gap,it internship,python,hybrid,evening,09-06-2020,monish,1,60000,2017,not joined,not impressed
66,hidden,nilambur,hidden,hidden,social media,ug,other,no career issue,work experience,data science,hybrid,afternoon,17-12-2020,monish,3,60000,2015,joined,joined
67,hidden,ernakulam,hidden,hidden,social media,ug,mechanical,career gap,it internship,python,offline,weekend,27-07-2020,baiju,2,35000,2016,not joined,suspected
68,hidden,palakkad,hidden,hidden,social media,pg,computer science,career gap,work experience,data science,offline,weekend,20-06-2020,anupama,1,60000,2015,not joined,not interested
69,hidden,farook,hidden,hidden,social media,pg,mechanical,no career issue,job oriented course,others,offline,morning,18-05-2020,baiju,5,12500,2020,not joined,not interested
70,hidden,kondotty,hidden,hidden,google,ug,computer science,non it background,it internship,mern,offline,evening,21-02-2020,baiju,2,60000,2020,joined,joined
71,hidden,kozhikode,hidden,hidden,social media,sslc,computer science,no career issue,it internship,data science,offline,weekend,05-09-2020,sandra,1,60000,2020,not joined,suspected
72,hidden,ernakulam,hidden,hidden,social media,pg,other,career gap,others,python,offline,morning,07-12-2020,baiju,5,60000,2019,not joined,not impressed
73,hidden,tanur,hidden,hidden,none,ug,mechanical,career gap,job oriented course,data science,offline,evening,09-04-2020,baiju,1,60000,2015,not joined,not interested
74,hidden,chevayur,hidden,hidden,social media,ug,commerce,no career issue,short term course,python,offline,weekend,09-02-2020,sandra,1,35000,2020,not joined,suspected
75,hidden,ponnani,hidden,hidden,social media,ug,civil,backpapers,others,mern,offline,evening,06-06-2020,baiju,2,60000,2019,not joined,call not picking
76,hidden,nadakkavu,hidden,hidden,social media,ug,civil,non it background,it internship,ai,offline,afternoon,08-10-2020,baiju,4,60000,2015,not joined,suspected
77,hidden,westhill,hidden,hidden,social media,ug,mechanical,non it background,others,python,offline,morning,11-01-2020,baiju,2,12500,2016,not joined,not interested
78,hidden,kozhikode,hidden,hidden,reference,ug,mechanical,no career issue,short term course,python,online,evening,16-10-2020,baiju,3,60000,2018,joined,joined
79,hidden,kovoor,hidden,hidden,social media,ug,commerce,backpapers,others,mern,online,afternoon,22-09-2020,baiju,1,60000,2017,not joined,suspected
80,hidden,malappuram,hidden,hidden,social media,ug,computer science,no career issue,others,data science,offline,morning,14-06-2020,monish,2,35000,2015,not joined,high fee
81,hidden,tanur,hidden,hidden,others,sslc,commerce,no career issue,work experience,mern,offline,evening,21-06-2020,sandra,1,60000,2015,joined,joined
82,hidden,malappuram,hidden,hidden,google,ug,computer science,backpapers,others,python,offline,afternoon,15-05-2020,baiju,3,35000,2018,not joined,joined other institude
83,hidden,kozhikode,hidden,hidden,google,diploma,electronics,no career issue,it internship,python,online,morning,25-10-2020,rifna,1,60000,2015,not joined,not impressed
84,hidden,ponnani,hidden,hidden,reference,pg,computer science,backpapers,it internship,python,offline,morning,14-05-2020,baiju,6,60000,2020,joined,joined
85,hidden,ramanattukara,hidden,hidden,social media,ug,computer science,no career issue,others,python,hybrid,morning,10-08-2020,baiju,6,35000,2016,not joined,joined other institude
86,hidden,kozhikode,hidden,hidden,google,pg,other,career gap,it internship,python,offline,evening,12-01-2020,faisal,2,60000,2020,not joined,not okay
87,hidden,beypore,hidden,hidden,google,others,commerce,no career issue,short term course,data science,offline,morning,20-02-2020,baiju,1,60000,2016,not joined,suspected
88,hidden,koyilandy,hidden,hidden,social media,ug,electronics,career gap,job oriented course,data science,offline,afternoon,08-05-2020,sivaprasad,1,60000,2019,not joined,not impressed
89,hidden,malappuram,hidden,hidden,others,plus 2,civil,non it background,others,mern,offline,afternoon,07-04-2020,baiju,4,60000,2018,not joined,joined other institude
90,hidden,manjeri,hidden,hidden,reference,pg,commerce,career gap,others,python,online,afternoon,02-06-2020,sandra,1,60000,2020,not joined,not okay
91,hidden,westhill,hidden,hidden,others,ug,other,no career issue,others,mern,offline,morning,02-05-2020,rifna,1,35000,2015,not joined,not interested
92,hidden,ramanattukara,hidden,hidden,social media,sslc,commerce,backpapers,job oriented course,mern,online,morning,01-08-2020,baiju,2,60000,2015,not joined,high fee
93,hidden,chevayur,hidden,hidden,google,others,electronics,no career issue,short term course,mern,offline,afternoon,05-01-2020,baiju,1,60000,2016,joined,joined
94,hidden,westhill,hidden,hidden,social media,ug,commerce,no career issue,job oriented course,mern,offline,afternoon,06-03-2020,baiju,1,60000,2019,joined,joined
95,hidden,farook,hidden,hidden,social media,ug,other,no career issue,job oriented course,python,online,afternoon,15-06-2020,baiju,2,60000,2019,not joined,not okay
96,hidden,ernakulam,hidden,hidden,social media,ug,mechanical,career gap,it internship,python,hybrid,afternoon,23-08-2020,monish,1,60000,2020,joined,joined
97,hidden,chevayur,hidden,hidden,social media,diploma,computer science,backpapers,it internship,flutter,online,afternoon,26-08-2020,sandra,4,60000,2020,not joined,not interested
98,hidden,koyilandy,hidden,hidden,social media,pg,computer science,no career issue,it internship,mern,online,afternoon,18-10-2020,anupama,1,60000,2015,not joined,call not picking
99,hidden,kozhikode,hidden,hidden,google,pg,mechanical,non it background,it internship,mern,hybrid,afternoon,06-06-2020,sivaprasad,1,35000,2018,not joined,not impressed
100,hidden,kondotty,hidden,hidden,social media,ug,other,non it background,work experience,mern,hybrid,morning,12-07-2020,faisal,1,60000,2018,not joined,suspected
101,hidden,chevayur,hidden,hidden,social media,ug,civil,no career issue,work experience,ai,offline,afternoon,13-04-2020,baiju,2,35000,2019,not joined,not interested
102,hidden,palazhi,hidden,hidden,social media,ug,computer science,career gap,job oriented course,ai,offline,morning,07-06-2020,lekha,1,60000,2017,not joined,not impressed
103,hidden,manjeri,hidden,hidden,reference,pg,mechanical,no career issue,job oriented course,ai,offline,morning,22-10-2020,sandra,1,60000,2018,not joined,not okay
104,hidden,kozhikode,hidden,hidden,social media,ug,computer science,non it background,job oriented course,mern,offline,morning,04-02-2020,baiju,1,35000,2017,not joined,joined other institude
105,hidden,chaliyam,hidden,hidden,none,ug,civil,career gap,job oriented course,mern,online,afternoon,25-07-2020,deepak,1,12500,2016,not joined,high fee
106,hidden,nadakkavu,hidden,hidden,google,ug,computer science,no career issue,work experience,mern,online,morning,14-04-2020,lekha,2,12500,2019,not joined,high fee
107,hidden,chevayur,hidden,hidden,social media,pg,electronics,career gap,it internship,others,offline,morning,12-08-2020,anupama,1,60000,2019,not joined,not okay
108,hidden,kozhikode,hidden,hidden,social media,plus 2,computer science,no career issue,short term course,mern,offline,morning,10-03-2020,deepak,1,60000,2018,not joined,call not picking
109,hidden,nadakkavu,hidden,hidden,reference,pg,civil,non it background,short term course,data science,offline,morning,06-06-2020,baiju,1,12500,2017,not joined,call not picking
110,hidden,nadakkavu,hidden,hidden,social media,pg,other,backpapers,work experience,data science,offline,morning,20-05-2020,sivaprasad,1,60000,2019,not joined,suspected
111,hidden,thrissur,hidden,hidden,reference,ug,computer science,no career issue,work experience,python,online,morning,14-07-2020,deepak,2,60000,2015,not joined,not impressed
112,hidden,kozhikode,hidden,hidden,others,pg,electronics,career gap,it internship,java,online,morning,14-12-2020,sivaprasad,2,35000,2019,not joined,not interested
113,hidden,nilambur,hidden,hidden,others,ug,other,no career issue,work experience,data science,online,morning,13-03-2020,baiju,3,60000,2016,not joined,high fee
114,hidden,nadakkavu,hidden,hidden,social media,ug,civil,no career issue,work experience,python,online,afternoon,24-01-2020,rifna,1,35000,2018,not joined,not interested
115,hidden,kottayam,hidden,hidden,social media,ug,other,career gap,work experience,mern,offline,evening,06-08-2020,sandra,3,60000,2020,joined,joined
116,hidden,kozhikode,hidden,hidden,social media,others,mechanical,no career issue,others,python,offline,morning,21-03-2020,deepak,3,60000,2018,not joined,call not picking
117,hidden,palakkad,hidden,hidden,social media,ug,electronics,backpapers,short term course,data science,hybrid,afternoon,21-07-2020,lekha,1,60000,2016,joined,joined
118,hidden,medical college,hidden,hidden,social media,pg,civil,no career issue,job oriented course,python,hybrid,morning,17-12-2020,rifna,2,60000,2015,not joined,not okay
119,hidden,kozhikode,hidden,hidden,reference,ug,civil,no career issue,it internship,data science,online,evening,13-06-2020,baiju,1,60000,2016,not joined,not okay
120,hidden,nilambur,hidden,hidden,reference,ug,mechanical,no career issue,job oriented course,python,offline,morning,15-05-2020,baiju,3,60000,2016,not joined,not okay
121,hidden,ramanattukara,hidden,hidden,google,ug,other,backpapers,job oriented course,java,offline,morning,04-03-2020,rifna,2,60000,2018,joined,joined
122,hidden,nilambur,hidden,hidden,social media,ug,commerce,career gap,job oriented course,data science,hybrid,morning,17-01-2020,baiju,1,60000,2020,joined,joined
123,hidden,trivandrum,hidden,hidden,others,pg,computer science,career gap,others,java,offline,evening,26-12-2020,sandra,3,60000,2018,joined,joined
124,hidden,ernakulam,hidden,hidden,social media,ug,mechanical,no career issue,others,data science,hybrid,morning,22-05-2020,sivaprasad,3,60000,2019,joined,joined
125,hidden,chaliyam,hidden,hidden,social media,ug,civil,no career issue,short term course,data science,online,morning,01-09-2020,sivaprasad,1,35000,2019,not joined,suspected
126,hidden,medical college,hidden,hidden,social media,plus 2,other,career gap,work experience,data science,offline,afternoon,10-02-2020,anupama,3,60000,2018,not joined,call not picking
127,hidden,chevayur,hidden,hidden,social media,ug,other,backpapers,others,python,offline,afternoon,21-09-2020,sandra,1,60000,2016,joined,joined
128,hidden,westhill,hidden,hidden,social media,ug,electronics,non it background,short term course,mern,hybrid,afternoon,08-06-2020,monish,1,35000,2018,not joined,not interested
129,hidden,manjeri,hidden,hidden,social media,ug,other,no career issue,others,data science,offline,morning,18-06-2020,lekha,2,60000,2019,joined,joined
130,hidden,westhill,hidden,hidden,social media,ug,electronics,non it background,work experience,data science,offline,morning,23-05-2020,rifna,2,60000,2017,joined,joined
131,hidden,tirur,hidden,hidden,none,ug,electronics,no career issue,job oriented course,python,online,afternoon,11-12-2020,anupama,2,60000,2017,not joined,not impressed
132,hidden,koyilandy,hidden,hidden,others,ug,computer science,no career issue,others,data science,online,morning,26-11-2020,faisal,4,60000,2015,joined,joined
133,hidden,manjeri,hidden,hidden,social media,plus 2,computer science,no career issue,short term course,python,offline,morning,14-01-2020,baiju,3,60000,2016,joined,joined
134,hidden,palakkad,hidden,hidden,social media,ug,electronics,no career issue,short term course,data science,offline,morning,10-09-2020,baiju,3,12500,2016,not joined,suspected
135,hidden,chevayur,hidden,hidden,others,others,other,non it background,job oriented course,web designing,offline,evening,07-07-2020,baiju,1,35000,2019,not joined,not interested
136,hidden,kannur,hidden,hidden,social media,ug,other,career gap,it internship,testing,offline,morning,18-02-2020,anupama,3,60000,2016,not joined,high fee
137,hidden,westhill,hidden,hidden,social media,pg,mechanical,no career issue,work experience,data science,offline,morning,10-11-2020,sivaprasad,3,60000,2017,not joined,not okay
138,hidden,westhill,hidden,hidden,social media,plus 2,other,no career issue,others,data science,offline,morning,21-05-2020,deepak,2,60000,2015,not joined,not okay
139,hidden,tanur,hidden,hidden,google,ug,other,no career issue,it internship,mern,offline,morning,03-02-2020,baiju,1,12500,2018,not joined,not interested
140,hidden,thrissur,hidden,hidden,social media,ug,mechanical,no career issue,short term course,data science,offline,afternoon,08-04-2020,baiju,4,12500,2020,not joined,call not picking
141,hidden,vadakara,hidden,hidden,reference,ug,electronics,non it background,work experience,flutter,hybrid,afternoon,08-01-2020,deepak,1,60000,2019,not joined,high fee
142,hidden,ernakulam,hidden,hidden,reference,ug,civil,career gap,it internship,python,hybrid,morning,06-03-2020,baiju,6,35000,2015,not joined,not interested
143,hidden,ernakulam,hidden,hidden,social media,pg,computer science,no career issue,job oriented course,java,hybrid,afternoon,12-02-2020,baiju,1,12500,2015,not joined,not impressed
144,hidden,malappuram,hidden,hidden,reference,pg,other,non it background,short term course,mern,offline,afternoon,19-12-2020,baiju,2,35000,2018,not joined,not okay
145,hidden,palakkad,hidden,hidden,social media,pg,electronics,backpapers,others,python,offline,afternoon,01-11-2020,deepak,4,60000,2015,joined,joined
146,hidden,medical college,hidden,hidden,others,ug,commerce,no career issue,short term course,mern,offline,morning,18-08-2020,lekha,2,12500,2020,not joined,joined other institude
147,hidden,nadakkavu,hidden,hidden,social media,plus 2,computer science,non it background,others,web designing,online,morning,25-03-2020,lekha,1,60000,2020,not joined,high fee
148,hidden,nadakkavu,hidden,hidden,social media,ug,computer science,non it background,others,python,offline,evening,17-02-2020,baiju,4,60000,2016,joined,joined
149,hidden,ernakulam,hidden,hidden,google,ug,other,non it background,short term course,data science,offline,weekend,09-07-2020,anupama,1,60000,2017,not joined,not interested
150,hidden,palazhi,hidden,hidden,others,pg,computer science,no career issue,short term course,ai,offline,morning,09-02-2020,baiju,1,60000,2020,joined,joined
151,hidden,thrissur,hidden,hidden,google,pg,electronics,no career issue,short term course,mern,online,morning,20-07-2020,rifna,2,60000,2020,not joined,high fee
152,hidden,manjeri,hidden,hidden,social media,ug,mechanical,no career issue,others,mern,online,morning,12-01-2020,baiju,2,60000,2019,not joined,high fee
153,hidden,kozhikode,hidden,hidden,social media,ug,civil,no career issue,job oriented course,python,hybrid,morning,08-01-2020,baiju,2,12500,2017,not joined,suspected
154,hidden,palazhi,hidden,hidden,social media,ug,other,no career issue,short term course,data science,hybrid,afternoon,13-11-2020,baiju,2,35000,2016,not joined,not okay
155,hidden,wayanad,hidden,hidden,social media,ug,computer science,career gap,job oriented course,python,online,evening,25-09-2020,monish,1,60000,2018,not joined,call not picking
156,hidden,tirur,hidden,hidden,social media,pg,mechanical,no career issue,work experience,data science,offline,morning,15-02-2020,baiju,1,60000,2017,joined,joined
157,hidden,farook,hidden,hidden,others,sslc,mechanical,no career issue,short term course,python,offline,afternoon,02-03-2020,baiju,1,60000,2015,not joined,not okay
158,hidden,kovoor,hidden,hidden,social media,pg,computer science,no career issue,job oriented course,data science,offline,morning,21-02-2020,sivaprasad,2,60000,2017,not joined,joined other institude
159,hidden,farook,hidden,hidden,google,ug,electronics,no career issue,it internship,mern,offline,morning,01-01-2020,rifna,2,35000,2017,not joined,high fee
160,hidden,farook,hidden,hidden,others,ug,other,no career issue,short term course,python,offline,morning,05-02-2020,deepak,2,12500,2016,not joined,suspected
161,hidden,westhill,hidden,hidden,social media,plus 2,civil,no career issue,others,java,offline,morning,27-12-2020,sivaprasad,1,60000,2016,joined,joined
162,hidden,manjeri,hidden,hidden,social media,ug,other,career gap,others,mern,offline,morning,13-12-2020,baiju,3,35000,2016,not joined,not impressed
163,hidden,palazhi,hidden,hidden,social media,pg,electronics,no career issue,short term course,data science,offline,morning,14-01-2020,lekha,1,60000,2019,joined,joined
164,hidden,chevayur,hidden,hidden,reference,ug,civil,no career issue,others,mern,offline,morning,08-11-2020,deepak,4,60000,2019,not joined,not okay
165,hidden,beypore,hidden,hidden,social media,pg,computer science,backpapers,short term course,web designing,hybrid,afternoon,11-03-2020,baiju,3,60000,2016,not joined,not interested
166,hidden,kottayam,hidden,hidden,google,ug,commerce,career gap,work experience,flutter,offline,morning,24-04-2020,rifna,2,60000,2017,not joined,not okay
167,hidden,medical college,hidden,hidden,social media,ug,other,no career issue,others,mern,online,weekend,17-11-2020,baiju,2,60000,2019,joined,joined
168,hidden,kozhikode,hidden,hidden,social media,ug,mechanical,no career issue,work experience,python,offline,morning,10-11-2020,deepak,2,60000,2015,joined,joined
169,hidden,tirur,hidden,hidden,others,plus 2,civil,no career issue,others,java,hybrid,weekend,03-01-2020,monish,1,60000,2015,joined,joined
170,hidden,kunnamangalam,hidden,hidden,social media,ug,commerce,career gap,others,ai,offline,morning,04-04-2020,anupama,1,12500,2016,not joined,joined other institude
171,hidden,kozhikode,hidden,hidden,social media,ug,electronics,backpapers,work experience,java,hybrid,morning,02-06-2020,faisal,1,60000,2015,not joined,call not picking
172,hidden,westhill,hidden,hidden,social media,plus 2,computer science,non it background,job oriented course,data science,online,morning,21-12-2020,monish,1,60000,2018,not joined,not impressed
173,hidden,kozhikode,hidden,hidden,reference,ug,other,backpapers,job oriented course,data science,offline,morning,04-07-2020,baiju,1,60000,2016,not joined,high fee
174,hidden,malappuram,hidden,hidden,social media,pg,civil,backpapers,it internship,mern,offline,evening,18-02-2020,baiju,3,60000,2019,not joined,suspected
175,hidden,palazhi,hidden,hidden,social media,ug,civil,no career issue,work experience,java,online,morning,12-05-2020,baiju,4,12500,2018,not joined,suspected
176,hidden,kozhikode,hidden,hidden,reference,pg,mechanical,no career issue,short term course,flutter,offline,morning,09-08-2020,rifna,3,12500,2015,not joined,not impressed
177,hidden,westhill,hidden,hidden,reference,ug,other,no career issue,others,java,offline,morning,02-10-2020,faisal,1,60000,2020,not joined,not interested
178,hidden,westhill,hidden,hidden,others,ug,commerce,career gap,it internship,python,offline,morning,22-08-2020,lekha,1,60000,2019,joined,joined
179,hidden,kozhikode,hidden,hidden,social media,ug,other,career gap,short term course,python,offline,morning,17-11-2020,anupama,2,35000,2018,not joined,not okay
180,hidden,kozhikode,hidden,hidden,social media,others,other,no career issue,others,python,offline,morning,12-03-2021,sandra,2,60000,2019,joined,joined
181,hidden,nadakkavu,hidden,hidden,google,sslc,commerce,no career issue,work experience,java,online,morning,16-07-2021,baiju,1,60000,2020,not joined,call not picking
182,hidden,tirur,hidden,hidden,social media,ug,mechanical,no career issue,others,mern,online,afternoon,13-07-2021,anupama,3,35000,2017,not joined,not interested
183,hidden,ramanattukara,hidden,hidden,google,ug,civil,career gap,short term course,mern,online,morning,25-12-2021,baiju,4,35000,2019,not joined,call not picking
184,hidden,kovoor,hidden,hidden,social media,ug,computer science,no career issue,it internship,web designing,offline,morning,18-09-2021,sivaprasad,2,12500,2021,not joined,high fee
185,hidden,westhill,hidden,hidden,social media,ug,other,no career issue,short term course,flutter,online,morning,10-06-2021,deepak,2,35000,2019,not joined,high fee
186,hidden,kunnamangalam,hidden,hidden,none,ug,electronics,no career issue,it internship,ai,offline,morning,16-07-2021,baiju,1,60000,2019,joined,joined
